filename,region_count,region_shape_attributes,Device,Species,Count,Sex,Latitude,Longitude
2021-06-25-14-55-23.jpg,1,"{""name"":""rect"",""x"":1228,""y"":507,""width"":27,""height"":31}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.388557,36.961408
2021-06-25-15-06-49.jpg,1,"{""name"":""rect"",""x"":60,""y"":385,""width"":39,""height"":34}",Raspberry Pi 2,IMPALA,1,CAN'T TELL,-0.388557,36.961408
2021-06-25-15-39-54.jpg,1,"{""name"":""rect"",""x"":6,""y"":392,""width"":42,""height"":34}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.388557,36.961408
2021-06-25-15-40-46.jpg,1,"{""name"":""rect"",""x"":25,""y"":392,""width"":41,""height"":31}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.388557,36.961408
2021-07-01-06-51-57.jpg,1,"{""name"":""rect"",""x"":663,""y"":413,""width"":45,""height"":31}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962331
2021-07-01-06-59-56.jpg,1,"{""name"":""rect"",""x"":540,""y"":261,""width"":242,""height"":278}",Raspberry Pi 2,WATERBUCK,1,MALE,-0.390386,36.962331
2021-07-01-06-59-59.jpg,1,"{""name"":""rect"",""x"":467,""y"":236,""width"":291,""height"":296}",Raspberry Pi 2,WATERBUCK,1,MALE,-0.390386,36.962331
2021-07-01-07-00-02.jpg,1,"{""name"":""rect"",""x"":13,""y"":212,""width"":341,""height"":287}",Raspberry Pi 2,WATERBUCK,1,MALE,-0.390386,36.962331
2021-07-01-11-23-54.jpg,1,"{""name"":""rect"",""x"":86,""y"":354,""width"":242,""height"":198}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-07-01-15-52-10.jpg,1,"{""name"":""rect"",""x"":873,""y"":384,""width"":148,""height"":122}",Raspberry Pi 2,ZEBRA,1,CAN'T TELL,-0.390386,36.962331
2021-07-01-15-52-16.jpg,1,"{""name"":""rect"",""x"":661,""y"":389,""width"":86,""height"":74}",Raspberry Pi 2,ZEBRA,1,CAN'T TELL,-0.390386,36.962331
2021-07-01-15-52-25.jpg,1,"{""name"":""rect"",""x"":634,""y"":384,""width"":82,""height"":68}",Raspberry Pi 2,ZEBRA,1,CAN'T TELL,-0.390386,36.962331
2021-07-01-16-52-05.jpg,1,"{""name"":""rect"",""x"":2,""y"":338,""width"":75,""height"":175}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-07-01-16-52-09.jpg,1,"{""name"":""rect"",""x"":74,""y"":357,""width"":330,""height"":191}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-07-09-09-06-52.jpg,1,"{""name"":""rect"",""x"":624,""y"":279,""width"":127,""height"":215}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962331
2021-07-09-09-09-09.jpg,1,"{""name"":""rect"",""x"":142,""y"":130,""width"":331,""height"":355}",Raspberry Pi 2,IMPALA,1,MALE,-0.390386,36.962331
2021-07-09-17-49-27.jpg,1,"{""name"":""rect"",""x"":1001,""y"":231,""width"":276,""height"":247}",Raspberry Pi 2,IMPALA,1,MALE,-0.390386,36.962331
2021-07-31-08-19-20.jpg,1,"{""name"":""rect"",""x"":954,""y"":350,""width"":77,""height"":112}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-07-31-08-19-39.jpg,1,"{""name"":""rect"",""x"":1254,""y"":407,""width"":25,""height"":70}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-07-31-08-20-32.jpg,1,"{""name"":""rect"",""x"":295,""y"":303,""width"":133,""height"":97}",Raspberry Pi 2,WARTHOG,1,CAN'T TELL,-0.390386,36.962331
2021-08-01-07-31-45.jpg,1,"{""name"":""rect"",""x"":40,""y"":233,""width"":156,""height"":148}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962348
2021-08-08-10-24-00.jpg,1,"{""name"":""rect"",""x"":4,""y"":418,""width"":332,""height"":207}",Raspberry Pi 2,MONKEY,1,CAN'T TELL,-0.390386,36.962348
2021-08-08-10-24-03.jpg,1,"{""name"":""rect"",""x"":5,""y"":421,""width"":327,""height"":212}",Raspberry Pi 2,MONKEY,1,CAN'T TELL,-0.390386,36.962348
2021-08-08-10-25-04.jpg,1,"{""name"":""rect"",""x"":6,""y"":367,""width"":182,""height"":218}",Raspberry Pi 2,MONKEY,1,CAN'T TELL,-0.390386,36.962348
2021-08-13-16-21-34.jpg,1,"{""name"":""rect"",""x"":639,""y"":341,""width"":107,""height"":76}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962331
2021-08-13-16-21-44.jpg,1,"{""name"":""rect"",""x"":498,""y"":337,""width"":114,""height"":75}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962331
2021-08-13-16-21-47.jpg,1,"{""name"":""rect"",""x"":488,""y"":314,""width"":118,""height"":99}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.390386,36.962331
2021-08-14-12-53-45.jpg,1,"{""name"":""rect"",""x"":290,""y"":357,""width"":44,""height"":49}",Raspberry Pi 2,MONKEY,1,CAN'T TELL,-0.390386,36.962331
2021-08-14-12-53-54.jpg,1,"{""name"":""rect"",""x"":345,""y"":333,""width"":30,""height"":50}",Raspberry Pi 2,MONKEY,1,CAN'T TELL,-0.390386,36.962331
2021-08-21-16-23-57.jpg,1,"{""name"":""rect"",""x"":611,""y"":384,""width"":38,""height"":50}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.390386,36.962331
2021-08-21-16-24-10.jpg,1,"{""name"":""rect"",""x"":607,""y"":373,""width"":33,""height"":55}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.390386,36.962331
2021-08-21-16-24-13.jpg,1,"{""name"":""rect"",""x"":598,""y"":377,""width"":48,""height"":50}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.390386,36.962331
2021-08-21-16-24-15.jpg,1,"{""name"":""rect"",""x"":600,""y"":372,""width"":50,""height"":57}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.390386,36.962331
2021-08-21-16-24-18.jpg,1,"{""name"":""rect"",""x"":602,""y"":372,""width"":44,""height"":63}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.390386,36.962331
2021-08-23-06-52-46.jpg,1,"{""name"":""rect"",""x"":1064,""y"":393,""width"":194,""height"":147}",Raspberry Pi 2,BUSHBUCK,1,FEMALE,-0.390386,36.962331
2021-08-23-06-52-49.jpg,1,"{""name"":""rect"",""x"":924,""y"":398,""width"":111,""height"":92}",Raspberry Pi 2,BUSHBUCK,1,FEMALE,-0.390386,36.962331
2021-09-03-17-52-30.jpg,1,"{""name"":""rect"",""x"":683,""y"":178,""width"":266,""height"":249}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.386616,36.965402
2021-09-03-17-52-33.jpg,1,"{""name"":""rect"",""x"":801,""y"":129,""width"":253,""height"":299}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.386616,36.965402
2021-09-03-17-52-37.jpg,1,"{""name"":""rect"",""x"":1040,""y"":161,""width"":237,""height"":231}",Raspberry Pi 2,BUSHBUCK,1,MALE,-0.386616,36.965402
2021-09-05-10-29-27.jpg,1,"{""name"":""rect"",""x"":917,""y"":31,""width"":359,""height"":507}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.386616,36.965402
2021-09-05-10-29-30.jpg,1,"{""name"":""rect"",""x"":805,""y"":12,""width"":469,""height"":488}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.386616,36.965402
2021-09-05-10-29-34.jpg,1,"{""name"":""rect"",""x"":662,""y"":12,""width"":616,""height"":512}",Raspberry Pi 2,IMPALA,1,FEMALE,-0.386616,36.965402
